date,obcina,avg_temp_c,min_temp_c,max_temp_c,precip_mm,snowfall_cm,cloud_cover_pct,visibility_m,sunshine_duration_sec,sunny,rainy,snowy,icy,frost,fog,weather_label
2026-03-29,Ajdovščina,9.6,4.7,16.2,0.0,0.0,57,,25524.49,1,0,0,0,0,0,sunny
2026-03-29,Ankaran,12.4,9.3,15.1,0.0,0.0,57,,22139.74,1,0,0,0,0,0,sunny
2026-03-29,Apace,8.1,6.1,11.7,0.1,0.0,98,,15723.88,0,1,0,0,0,0,rainy
2026-03-29,Beltinci,8.3,6.1,11.9,0.1,0.0,96,,23260.38,1,1,0,0,0,0,rainy
2026-03-29,Benedikt,8.1,6.1,11.5,0.0,0.0,99,,14184.49,0,0,0,0,0,0,cloudy_or_mixed
2026-03-29,Bistrica ob Sotli,8.5,6.2,12.0,0.0,0.0,91,,22338.29,1,0,0,0,0,0,sunny
2026-03-29,Bled,6.4,2.9,11.3,0.0,0.0,62,,39310.11,1,0,0,0,0,0,sunny
2026-03-29,Bloke,4.9,0.6,10.1,0.0,0.0,90,,26151.73,1,0,0,0,0,0,sunny
2026-03-29,Bohinj,5.8,1.8,11.3,0.0,0.0,64,,36309.41,1,0,0,0,0,0,sunny
2026-03-29,Borovnica,8.6,5.1,13.4,0.0,0.0,65,,32816.79,1,0,0,0,0,0,sunny
2026-03-29,Bovec,2.5,0.2,6.8,0.0,0.0,74,,40514.33,1,0,0,0,0,0,sunny
2026-03-29,Braslovce,8.1,3.8,13.6,0.0,0.0,72,,36189.46,1,0,0,0,0,0,sunny
2026-03-29,Brda,9.5,5.2,15.9,0.0,0.0,67,,23468.3,1,0,0,0,0,0,sunny
2026-03-29,Brezovica,8.8,5.3,13.7,0.0,0.0,65,,32816.79,1,0,0,0,0,0,sunny
2026-03-29,Brežice,8.4,5.4,12.5,0.0,0.0,97,,23289.22,1,0,0,0,0,0,sunny
2026-03-29,Cankova,7.6,5.5,11.4,0.2,0.0,96,,15568.12,0,1,0,0,0,0,rainy
2026-03-29,Celje,7.6,2.8,13.7,0.0,0.0,74,,33933.86,1,0,0,0,0,0,sunny
2026-03-29,Cerklje na Gorenjskem,7.2,3.1,12.8,0.0,0.0,64,,31556.65,1,0,0,0,0,0,sunny
2026-03-29,Cerknica,5.6,1.4,10.1,0.0,0.0,75,,28943.0,1,0,0,0,0,0,sunny
2026-03-29,Cerkno,6.9,3.6,11.8,0.0,0.0,53,,33452.92,1,0,0,0,0,0,sunny
2026-03-29,Cerkvenjak,8.1,6.1,11.5,0.0,0.0,99,,14184.49,0,0,0,0,0,0,cloudy_or_mixed
2026-03-29,Cirkulane,7.9,5.8,11.6,0.0,0.0,100,,12425.78,0,0,0,0,0,0,cloudy_or_mixed
2026-03-29,Crnomelj,7.6,4.0,11.3,0.1,0.0,100,,585.0,0,1,0,0,0,0,rainy
2026-03-29,Destrnik,8.0,5.9,11.5,0.0,0.0,100,,13085.25,0,0,0,0,0,0,cloudy_or_mixed
2026-03-29,Divaca,7.9,4.8,12.2,0.0,0.0,61,,32176.41,1,0,0,0,0,0,sunny
2026-03-29,Dobje,6.8,3.8,11.4,0.1,0.0,95,,23599.76,1,1,0,0,0,0,rainy
2026-03-29,Dobrepolje,7.5,4.7,12.2,0.0,0.0,97,,18397.49,0,0,0,0,0,0,cloudy_or_mixed
2026-03-29,Dobrna,4.3,0.3,9.5,0.0,0.21,81,,34654.2,1,0,1,0,0,0,snowy
2026-03-29,Dobrova-Polhov Gradec,8.7,5.4,13.0,0.0,0.0,63,,32861.12,1,0,0,0,0,0,sunny
2026-03-29,Dobrovnik,8.2,5.9,11.2,0.4,0.0,94,,28451.66,1,1,0,0,0,0,rainy
2026-03-29,Dol pri Ljubljani,8.3,4.4,14.4,0.0,0.0,66,,29204.43,1,0,0,0,0,0,sunny
2026-03-29,Dolenjske Toplice,6.6,4.0,9.9,0.0,0.0,95,,16578.38,0,0,0,0,0,0,cloudy_or_mixed
2026-03-29,Domžale,7.6,3.7,13.8,0.0,0.0,62,,30738.9,1,0,0,0,0,0,sunny
2026-03-29,Dornava,8.1,6.1,11.7,0.0,0.0,100,,13330.17,0,0,0,0,0,0,cloudy_or_mixed
2026-03-29,Dravograd,6.8,3.0,11.9,0.0,0.0,92,,32266.86,1,0,0,0,0,0,sunny
